num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint,anio
1,2020,1,15,3,2,1,3,1,101,6,1,999,16,12,18,1,4,999,99,9999,99,1,2,1,2020
2,2020,1,15,3,2,1,3,1,101,6,1,999,16,12,18,1,4,999,99,9999,99,1,2,1,2020
3,2020,1,5,1,1,1,3,1,101,12,1,63,11,11,13,1,4,32,6,9999,99,1,2,1,2020
4,2020,1,7,2,1,1,3,1,116,99,1,52,9,9,11,1,4,999,99,9999,99,6,2,2,2020
5,2020,1,7,2,1,1,3,1,116,99,1,23,3,3,5,1,4,999,99,9999,99,6,2,1,2020
6,2020,1,0,1,1,1,3,22,2205,99,1,34,5,5,7,1,1,27,4,2005,4,1,2,2,2020
7,2020,1,16,3,2,1,3,20,2001,99,1,10,1,1,3,2,2,999,2,9999,99,3,2,1,2020
8,2020,1,16,3,2,1,3,20,2001,99,2,5,1,1,2,2,2,999,2,9999,99,3,2,1,2020
9,2020,1,16,3,2,1,3,20,2001,99,2,4,1,1,1,2,2,999,2,9999,99,3,2,1,2020
10,2020,1,16,3,2,1,3,20,2001,99,2,29,4,4,6,1,2,999,2,9999,99,3,2,1,2020
11,2020,1,16,3,2,1,3,20,2001,99,2,2,1,1,1,2,2,999,2,9999,99,3,2,1,2020
12,2020,1,16,3,2,1,3,20,2001,99,2,3,1,1,1,2,2,999,2,9999,99,3,2,1,2020
13,2020,1,16,3,2,1,3,20,2001,99,1,35,6,6,8,1,2,999,2,9999,99,3,2,1,2020
14,2020,1,16,3,2,1,3,20,2001,99,2,67,12,11,14,1,2,999,2,9999,99,3,2,1,2020
15,2020,1,11,2,1,1,3,5,509,99,1,55,10,10,12,1,18,999,99,9999,99,1,1,2,2020
16,2020,1,14,3,2,1,3,10,1002,99,1,55,10,10,12,1,3,999,2,9999,99,1,1,2,2020
17,2020,1,14,3,2,1,3,10,1002,99,2,999,16,12,18,1,3,999,2,9999,99,1,1,2,2020
